model_id,model_collection,mapped_tf_hgnc_symbol,mapped_tf_ensembl_gene_id,mapping_type
AC008770_FL_AA40NTATCGC_YWM_jolma2025_0_4_7mer,primary,AC008770,ENSG00000267179,cognate
AC092835_FL_CA40NTCGATG_YWM_jolma2025_0_3_7mer,primary,ZNF892,ENSG00000233757,cognate
ADNP_FL_AG40NTGGCTA_YWL_jolma2025_0_3_7mer,primary,ADNP,ENSG00000101126,cognate
ADNP2_FL_GA40NTTCCTA_YWL_jolma2025_0_4_7mer,primary,ADNP2,ENSG00000101544,cognate
AEBP1_FL_GT40NGGCATT_YWL_jolma2025_0_4_7mer,primary,AEBP1,ENSG00000106624,cognate
AHCTF1_FL_CG40NACGGTT_YWL_jolma2025_0_3_7mer,primary,AHCTF1,ENSG00000153207,cognate
AHDC1_FL_GG40NTAGTTT_YWO_jolma2025_0_4_7mer,primary,AHDC1,ENSG00000126705,cognate
AKAP8_DBD_AG40NACCATA_YWM_jolma2025_0_4_7mer,primary,AKAP8,ENSG00000105127,cognate
AKAP8L_DBD_CG40NACGGTT_YWM_jolma2025_0_3_7mer,primary,AKAP8L,ENSG00000011243,cognate
AKNA_DBD1_AG40NTCGACT_YWHA_jolma2025_0_3_7mer,primary,AKNA,ENSG00000106948,cognate
ALX1_NA_TAAAGC20NCG_ESZ_yang2017_0_2_7mer,primary,ALX1,ENSG00000180318,cognate
ALX1_NA_TAAAGC20NCG_ESZ_yang2017_0_2_7mer,primary,ALX3,ENSG00000156150,CIS-BP
ALX1_NA_TAAAGC20NCG_ESZ_yang2017_0_2_7mer,primary,ALX4,ENSG00000052850,CIS-BP
ALX1_NA_TAAAGC20NCG_ESZ_yang2017_0_2_7mer,primary,ARX,ENSG00000004848,CIS-BP
ALX1_NA_TAAAGC20NCG_ESZ_yang2017_0_2_7mer,primary,BARX1,ENSG00000131668,CIS-BP
ALX1_NA_TAAAGC20NCG_ESZ_yang2017_0_2_7mer,primary,BARX2,ENSG00000043039,CIS-BP
ALX1_NA_TAAAGC20NCG_ESZ_yang2017_0_2_7mer,primary,BSX,ENSG00000188909,CIS-BP
ALX1_NA_TAAAGC20NCG_ESZ_yang2017_0_2_7mer,primary,DLX2,ENSG00000115844,CIS-BP
ALX1_NA_TAAAGC20NCG_ESZ_yang2017_0_2_7mer,primary,DLX3,ENSG00000064195,CIS-BP
ALX1_NA_TAAAGC20NCG_ESZ_yang2017_0_2_7mer,primary,DLX5,ENSG00000105880,CIS-BP
ALX1_NA_TAAAGC20NCG_ESZ_yang2017_0_2_7mer,primary,DRGX,ENSG00000165606,CIS-BP
ALX1_NA_TAAAGC20NCG_ESZ_yang2017_0_2_7mer,primary,EMX1,ENSG00000135638,CIS-BP
ALX1_NA_TAAAGC20NCG_ESZ_yang2017_0_2_7mer,primary,EMX2,ENSG00000170370,CIS-BP
ALX1_NA_TAAAGC20NCG_ESZ_yang2017_0_2_7mer,primary,EN1,ENSG00000163064,CIS-BP
ALX1_NA_TAAAGC20NCG_ESZ_yang2017_0_2_7mer,primary,EN2,ENSG00000164778,CIS-BP
ALX1_NA_TAAAGC20NCG_ESZ_yang2017_0_2_7mer,primary,ESX1,ENSG00000123576,CIS-BP
ALX1_NA_TAAAGC20NCG_ESZ_yang2017_0_2_7mer,primary,EVX1,ENSG00000106038,CIS-BP
ALX1_NA_TAAAGC20NCG_ESZ_yang2017_0_2_7mer,primary,EVX2,ENSG00000174279,CIS-BP
