tf_hgnc_symbol,ensembl_gene_id,mapped_model_id,model_collection,cross_exp_pearsonr,within_exp_pearsonr,snpselex_first_batch_pearsonr,snpselex_novel_batch_pearsonr,mapping_type
AC008770,ENSG00000267179,AC008770_FL_AA40NTATCGC_YWM_jolma2025_0_4_7mer,primary,0.5580683645899126,0.6171533478827707,,,cognate
AC138696.1,ENSG00000264668,ZFP41_FL_TGTATG40NCGG_KV_yin2017_0_3_7mer,primary,0.9563010332708624,0.8975282984550093,,,CIS-BP
ADNP,ENSG00000101126,ADNP_FL_AG40NTGGCTA_YWL_jolma2025_0_3_7mer,primary,0.5634593914859803,0.5654546223836426,,,cognate
ADNP2,ENSG00000101544,ADNP2_FL_GA40NTTCCTA_YWL_jolma2025_0_4_7mer,primary,0.5941715666321067,0.5919541243276165,,,cognate
AEBP1,ENSG00000106624,AEBP1_FL_GT40NGGCATT_YWL_jolma2025_0_4_7mer,primary,0.568121761875467,0.6296951728520067,,,cognate
AHCTF1,ENSG00000153207,AHCTF1_FL_CG40NACGGTT_YWL_jolma2025_0_3_7mer,primary,0.5306952308613523,0.682654491837454,,,cognate
AHDC1,ENSG00000126705,AHDC1_FL_GG40NTAGTTT_YWO_jolma2025_0_4_7mer,primary,0.7880590164516826,0.7944203046786968,,,cognate
AKAP8,ENSG00000105127,AKAP8_DBD_AG40NACCATA_YWM_jolma2025_0_4_7mer,primary,0.6121423731004461,0.5907323220967642,,,cognate
AKAP8L,ENSG00000011243,AKAP8L_DBD_CG40NACGGTT_YWM_jolma2025_0_3_7mer,primary,0.5860566104823164,0.6415901951503796,,,cognate
AKNA,ENSG00000106948,AKNA_DBD1_AG40NTCGACT_YWHA_jolma2025_0_3_7mer,primary,0.638745687753929,0.7077446735854062,,,cognate
ALX1,ENSG00000180318,ALX1_NA_TAAAGC20NCG_ESZ_yang2017_0_2_7mer,primary,0.9159072262889877,0.9243254242679831,,,cognate
ALX1,ENSG00000180318,ALX3_eDBD_TGCTCC40NCCG_KO_yin2017_0_4_7mer,primary,0.8973762106973114,0.8977566200938389,,,CIS-BP
ALX1,ENSG00000180318,ALX4_eDBD_TGCGTA40NTCA_KW_yin2017_0_4_7mer,primary,0.8881346708648697,0.8462360346310192,,,CIS-BP
ALX1,ENSG00000180318,ARX_eDBD_TAGCGC40NCGC_KO_yin2017_0_1_7mer,secondary-novel-batch,,0.8722121025742563,0.4987867688140423,0.6785928020278328,CIS-BP
ALX1,ENSG00000180318,ARX_eDBD_TAGCGC40NCGC_KO_yin2017_1_3_7mer,primary,0.7534995898564554,0.9171430223259835,,,CIS-BP
ALX1,ENSG00000180318,BARX1_NA_TATTCG20NCTG_ESAC_yang2017_0_3_7mer,primary,0.9418851820211688,0.8751092958722444,,,CIS-BP
ALX1,ENSG00000180318,BARX2_FL_TAGTTA40NGTG_KZ_yin2017_0_4_7mer,primary,0.9131715877080402,0.8778648491532985,,,CIS-BP
ALX1,ENSG00000180318,BSX_NA_TATGAA20NCG_ESY_yang2017_0_3_7mer,primary,0.8781801775939713,0.8790015682419852,,,CIS-BP
ALX1,ENSG00000180318,DLX2_eDBD_TGTCTG40NAGG_KP_yin2017_0_4_7mer,primary,0.924200590767745,0.9326544571393518,,,CIS-BP
ALX1,ENSG00000180318,DLX3_eDBD_TCCAGC40NGGC_KN_yin2017_0_3_7mer,primary,0.9433091761809725,0.927871549438285,,,CIS-BP
